,location,location-url,area,area-url,category,content,content-url,content-img
0,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,뮤지엄과 마술: 온 가족이 즐기는 도쿄의 액티비티,https://www.gotokyo.org/kr/new-and-now/new-and-trending/221003/topics.html,https://www.gotokyo.org/en/new-and-now/new-and-trending/221003/images/221003_main_400.jpg
1,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,"음악, 아트, 식사를 오감으로 즐기는 긴자의 나이트 명소",https://www.gotokyo.org/kr/new-and-now/new-and-trending/190311/topics.html,https://www.gotokyo.org/en/new-and-now/new-and-trending/190311/images/190311_thum_400.jpg
2,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,긴자 그래픽 갤러리,https://www.gotokyo.org/kr/spot/186/index.html,https://www.gotokyo.org/kr/spot/186/images/4447_1_670x450_1.jpg
3,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,GINZA PLACE(긴자 플레이스),https://www.gotokyo.org/kr/spot/665/index.html,https://www.gotokyo.org/en/spot/665/images/665_0433_1_670x450.jpg
4,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,시세이도 갤러리,https://www.gotokyo.org/kr/spot/125/index.html,https://www.gotokyo.org/en/spot/125/images/125_main_450.jpg
5,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,GINZA SIX,https://www.gotokyo.org/kr/spot/260/index.html,https://www.gotokyo.org/en/spot/260/images/260_0206_1_670x450.jpg
6,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,아트・디자인,캐논 갤러리 긴자,https://www.gotokyo.org/kr/spot/703/index.html,https://www.gotokyo.org/kr/spot/703/images/703_0752_2_670x450.jpg
7,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,쇼핑,마로니에게이트 긴자1,https://www.gotokyo.org/kr/spot/467/index.html,https://www.gotokyo.org/en/spot/467/images/467_0329_2_670x450.jpg
8,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,쇼핑,기간 한정으로 긴자에 최신 입체공원이 출현!,https://www.gotokyo.org/kr/new-and-now/new-and-trending/180910/topics.html,https://www.gotokyo.org/kr/new-and-now/new-and-trending/180910/images/180910_thum_1.jpg
9,도쿄 도심부,https://www.gotokyo.org/kr/destinations/central-tokyo/index.html,긴자,https://www.gotokyo.org/kr/destinations/central-tokyo/ginza/index.html,쇼핑,이토야,javascript:void(0);,https://www.gotokyo.org/_nopub/en/20191031_004/images/new04_670x450.jpg
